movie_title,release_year,run_time_minute,kill_count,male_death,female_death,other_death
The Blackening,2023,97,6,5,1,0
Mr. Crocket,2024,88,9,9,0,0
"As Above, So Below",2014,93,3,2,1,0
Smile 2,2024,132,7,6,1,0
The Substance,2024,140,4,0,4,0
Terrifier 3,2024,125,23,15,7,1
Fresh,2022,117,7,1,6,0
28 Weeks Later,2007,100,237,132,38,67
In A Violent Nature,2024,94,8,6,2,0
It's A Wonderful Knife,2023,87,14,10,4,0
Creep,2014,82,1,1,0,0
Thanksgiving,2023,107,12,7,5,0
MaXXXine,2024,104,18,13,5,0
Winnie-The-Pooh: Blood and Honey 2,2024,102,66,26,33,7
V/H/S/Beyond,2024,114,72,47,15,10
Halloween Ends,2022,111,18,11,7,0
V/H/S/85,2023,111,35,22,13,0
The Mouse Trap,2024,80,10,6,4,0
V/H/S/99,2022,109,33,18,14,1
V/H/S/94,2021,104,53,43,9,1
V/H/S: Viral,2014,81,49,41,8,0
Hatchet,2006,93,11,8,3,0
V/H/S/2,2013,96,59,33,26,0
Abigail,2024,109,47,5,1,41
V/H/S,2012,116,22,19,3,0
Old,2021,108,11,4,6,1
Late Night With The Devil,2023,95,15,8,7,0
Influencer,2022,92,2,1,1,0
When Evil Lurks,2023,100,16,8,8,0
Immaculate,2024,89,8,2,5,1
Pearl,2022,102,4,2,2,0
Totally Killer,2023,106,7,3,4,0
Lisa Frankenstein,2024,101,5,2,3,0
M3GAN,2023,102,7,4,2,1
NOPE,2022,130,61,37,24,0
Hannibal Rising,2007,121,62,52,6,4
Five Nights at Freddys,2023,110,8,5,3,0
Smile,2022,115,5,2,3,0
The Menu,2022,107,35,24,11,0
Evil Dead Rise,2023,97,12,6,3,3
Hell House LLC,2015,93,20,10,7,3
Orphan: First Kill,2022,99,7,5,2,0
The Mean One,2022,93,20,11,8,1
Saw X,2023,118,4,2,2,0
Barbarian,2022,103,5,4,1,0
Terrifier 2,2022,138,27,15,12,0
Llamageddon,2015,69,20,11,9,0
Talk to Me,2022,94,3,1,2,0
Emesis Blue,2023,108,800054,800053,1,0
Hostel,2005,94,23,15,8,0
Hostel: Part II,2007,94,19,13,6,0
Hostel: Part III,2021,88,12,10,2,0
Scream VI,2023,122,13,10,3,0
Winnie-The-Pooh: Blood and Honey,2023,84,13,4,8,1
Urban Legends: Bloody Mary,2005,93,7,5,2,0
Critters Attack!,2019,89,11,10,1,0
Bones and All,2022,130,7,5,2,0
The Collection,2012,82,287,32,43,212
The Collector,2009,90,8,5,3,0
Scream V,2022,114,8,5,3,0
Scream IV,2011,111,14,5,9,0
The Tripper,2006,97,29,23,6,0
Malignant,2021,111,46,22,24,0
Bodies Bodies Bodies,2022,95,5,2,3,0
Black Friday,2021,84,26,13,12,1
The Black Phone,2021,103,7,7,0,0
Marvel's Werewolf By Night,2022,53,13,9,4,0
Willy's Wonderland,2021,88,34,22,11,1
Haunt,2019,92,11,6,5,0
Dude Bro Party Massacre III,2015,91,4269,15,4,4250
Cult of Chucky,2017,91,9,4,4,1
Curse of Chucky,2013,97,10,6,4,0
The Wolfman,2010,119,28,26,2,0
X,2022,105,8,5,3,0
Wolf Creek,2005,98,5,2,3,0
Orphan,2009,123,3,1,2,0
Don't Breathe 2,2021,98,11,9,2,0
Would You Rather,2012,93,9,7,2,0
Texas Chainsaw Massacre,2022,83,38,15,16,7
Pontypool,2008,95,28,12,15,1
Halloween Kills,2021,106,31,17,5,9
Deathgasm,2015,90,37,29,8,0
Slither,2006,95,127,52,37,38
Tremors: Shreiker Island,2020,103,12,12,0,0
Tremors: A Cold Day In Hell,2018,98,10,7,3,0
Tremors 5: Bloodlines,2015,99,8,7,1,0
The Forever Purge,2021,103,143,54,7,82
Candyman,2021,91,17,9,8,0
Stitches,2012,86,6,5,1,0
ThanksKilling 3,2012,99,14,4,2,8
Friday the 13th Reboot,2009,97,15,10,5,0
A Quiet Place Part II,2020,97,34,24,8,2
Spiral: From the Book of Saw,2021,93,8,7,1,0
Benny Loves You,2019,94,18,10,8,0
Fear Street Part 3: 1666,2021,114,19,10,9,0
Fear Street Part 2: 1978,2021,110,14,6,6,2
Fear Street Part 1: 1994,2021,107,15,5,10,0
